1*x^2 + 0*x^1 + -4.00


a = 1.000000
b = 3.000000

 i	a	 b	   f(a)      f(b)	 Xn	 fXn	   error
 1  1.000000  3.000000  -3.000000  5.000000  2.000000  0.000000  100.000000
 2  1.000000  2.000000  -3.000000  0.000000  1.500000  -1.750000  33.333332
 3  1.500000  2.000000  -1.750000  0.000000  1.750000  -0.937500  14.285714
 4  1.750000  2.000000  -0.937500  0.000000  1.875000  -0.484375  6.666667
 5  1.875000  2.000000  -0.484375  0.000000  1.937500  -0.246094  3.225806
 6  1.937500  2.000000  -0.246094  0.000000  1.968750  -0.124023  1.587302
 7  1.968750  2.000000  -0.124023  0.000000  1.984375  -0.062256  0.787402
 8  1.984375  2.000000  -0.062256  0.000000  1.992188  -0.031189  0.392157
 9  1.992188  2.000000  -0.031189  0.000000  1.996094  -0.015610  0.195695
10  1.996094  2.000000  -0.015610  0.000000  1.998047  -0.007809  0.097752
11  1.998047  2.000000  -0.007809  0.000000  1.999023  -0.003905  0.048852
12  1.999023  2.000000  -0.003905  0.000000  1.999512  -0.001953  0.024420
13  1.999512  2.000000  -0.001953  0.000000  1.999756  -0.000977  0.012209
14  1.999756  2.000000  -0.000977  0.000000  1.999878  -0.000488  0.006104
15  1.999878  2.000000  -0.000488  0.000000  1.999939  -0.000244  0.003052
16  1.999939  2.000000  -0.000244  0.000000  1.999969  -0.000122  0.001526
17  1.999969  2.000000  -0.000122  0.000000  1.999985  -0.000061  0.000763
18  1.999985  2.000000  -0.000061  0.000000  1.999992  -0.000031  0.000381
19  1.999992  2.000000  -0.000031  0.000000  1.999996  -0.000015  0.000191
20  1.999996  2.000000  -0.000015  0.000000  1.999998  -0.000008  0.000095
21  1.999998  2.000000  -0.000008  0.000000  1.999999  -0.000004  0.000048
22  1.999999  2.000000  -0.000004  0.000000  2.000000  -0.000002  0.000024
23  2.000000  2.000000  -0.000002  0.000000  2.000000  -0.000001  0.000012
24  2.000000  2.000000  -0.000001  0.000000  2.000000  -0.000000  0.000006

La raiz es: 2.000000
