1*x^2 + 0*x^1 + -4.00

a = 1.000000
b = 3.000000

 i	a	 b	   f(a)      f(b)	 Xn	 fXn	   error
 1  1.000000  3.000000  -3.000000  5.000000  1.750000  -0.937500  100.000000
 2  1.750000  3.000000  -0.937500  5.000000  1.947368  -0.207756  10.135134
 3  1.947368  3.000000  -0.207756  5.000000  1.989362  -0.042440  2.110891
 4  1.989362  3.000000  -0.042440  5.000000  1.997868  -0.008524  0.425763
 5  1.997868  3.000000  -0.008524  5.000000  1.999573  -0.001706  0.085295
 6  1.999573  3.000000  -0.001706  5.000000  1.999915  -0.000341  0.017066
 7  1.999915  3.000000  -0.000341  5.000000  1.999983  -0.000068  0.003415
 8  1.999983  3.000000  -0.000068  5.000000  1.999997  -0.000014  0.000679
 9  1.999997  3.000000  -0.000014  5.000000  1.999999  -0.000003  0.000137
10  1.999999  3.000000  -0.000003  5.000000  2.000000  -0.000000  0.000030
11  2.000000  3.000000  -0.000000  5.000000  2.000000  0.000000  0.000006

La raiz es: 2.000000
