
 i	  x	 f(x)	   f'(x)     error
 1   1.000000  3.100000  8.000000  100.000000
 2   0.612500  0.934723  3.475938  78.266022
 3   0.343588  0.299175  1.395490  165.933792
 4   0.129200  0.121006  0.358557  162.032043
 5   -0.208280  0.125310  -0.156277  135.089554
 6   0.593567  0.870576  3.301068  79.955193
 7   0.329842  0.280566  1.312457  184.174820
 8   0.116070  0.116600  0.312974  145.254196
 9   -0.256485  0.132039  -0.118263  129.823792
10   0.860000  2.111711  6.157598  66.326286
11   0.517056  0.643813  2.638192  89.383797
12   0.273020  0.215242  0.993280  384.747559
13   0.056322  0.103530  0.131677  107.716263
14   -0.729914  -0.144985  1.736820  12.913442
15   -0.646437  -0.022386  1.214410  2.935325
16   -0.628003  -0.000966  1.110321  0.138677
17   -0.627133  -0.000002  1.105511  0.000304

La raiz es: -0.627131
